"NEIGHBORHOOD_NAME","MODZCTA","PERC_VAC","LABEL","AGE_GROUP","DOSES","COUNT_PEOPLE_VAC","POP_DENOMINATOR","YEAR_COVERAGE","QUARTER","VACCINE_GROUP","Notes"
"Chelsea/NoMad/West Chelsea",10001,99,"10001, 10118","13 - 17 years",1,872,683.7,2025,"Q4","HPV",
"Chinatown/Lower East Side",10002,85,"10002","13 - 17 years",1,2684,3160.5,2025,"Q4","HPV",
"East Village/Gramercy/Greenwich Village",10003,78,"10003","13 - 17 years",1,720,928.53,2025,"Q4","HPV",
"Financial District",10004,99,"10004","13 - 17 years",1,140,74.91,2025,"Q4","HPV",
"Financial District",10005,99,"10005","13 - 17 years",1,211,82.63,2025,"Q4","HPV",
"Financial District",10006,99,"10006","13 - 17 years",1,149,67.09,2025,"Q4","HPV",
"TriBeCa",10007,99,"10007","13 - 17 years",1,312,210.74,2025,"Q4","HPV",
"Alphabet City/East Village/Stuyvesant Town-Cooper Village",10009,73,"10009","13 - 17 years",1,1462,1991.53,2025,"Q4","HPV",
"Flatiron/Gramercy/Kips Bay",10010,99,"10010","13 - 17 years",1,758,589.14,2025,"Q4","HPV",
"Chelsea",10011,87,"10011","13 - 17 years",1,950,1088.19,2025,"Q4","HPV",
"Greenwich Village/SoHo",10012,73,"10012","13 - 17 years",1,390,533.8,2025,"Q4","HPV",
"Hudson Square/Little Italy/SoHo/TriBeCa",10013,99,"10013","13 - 17 years",1,985,910.1,2025,"Q4","HPV",
"Hudson Square/Meatpacking District/West Village",10014,77,"10014","13 - 17 years",1,481,628.46,2025,"Q4","HPV",
"Kips Bay/Murray Hill/NoMad",10016,99,"10016","13 - 17 years",1,973,812.17,2025,"Q4","HPV",
"East Midtown/Murray Hill",10017,99,"10017","13 - 17 years",1,748,224.8,2025,"Q4","HPV",
"Hell's Kitchen/Midtown Manhattan",10018,99,"10018","13 - 17 years",1,182,129.3,2025,"Q4","HPV",
"Hell's Kitchen/Midtown Manhattan",10019,99,"10019, 10020","13 - 17 years",1,1049,806.89,2025,"Q4","HPV",
"Lenox Hill/Upper East Side",10021,99,"10021","13 - 17 years",1,1224,1138.75,2025,"Q4","HPV",
"East Midtown",10022,99,"10022","13 - 17 years",1,713,655.17,2025,"Q4","HPV",
"Lincoln Square",10023,95,"10023","13 - 17 years",1,1901,1992.63,2025,"Q4","HPV",
"Upper West Side",10024,78,"10024","13 - 17 years",1,2080,2661.8,2025,"Q4","HPV",
"Manhattan Valley/Morningside Heights/Upper West Side",10025,74,"10025","13 - 17 years",1,2743,3724.66,2025,"Q4","HPV",
"Central Harlem (South)",10026,99,"10026","13 - 17 years",1,1638,1640.98,2025,"Q4","HPV",
"Central Harlem (South)/Morningside Heights/West Harlem",10027,99,"10027","13 - 17 years",1,3025,2796.81,2025,"Q4","HPV",
"Upper East Side/Yorkville",10028,74,"10028","13 - 17 years",1,1408,1911.92,2025,"Q4","HPV",
"East Harlem",10029,99,"10029","13 - 17 years",1,4119,4168.6,2025,"Q4","HPV",
"Central Harlem (North)",10030,86,"10030","13 - 17 years",1,1447,1690.99,2025,"Q4","HPV",
"Hamilton Heights/West Harlem",10031,84,"10031","13 - 17 years",1,2347,2791.76,2025,"Q4","HPV",
"Washington Heights (South)",10032,98,"10032","13 - 17 years",1,2523,2565.89,2025,"Q4","HPV",
"Washington Heights (North)/Washington Heights (South)",10033,91,"10033","13 - 17 years",1,2303,2518.48,2025,"Q4","HPV",
"Inwood/Washington Heights (North)",10034,91,"10034","13 - 17 years",1,1768,1945.1,2025,"Q4","HPV",
"East Harlem",10035,83,"10035","13 - 17 years",1,1756,2106.51,2025,"Q4","HPV",
"Hell's Kitchen/Midtown Manhattan",10036,99,"10036","13 - 17 years",1,1041,537.18,2025,"Q4","HPV",
"Central Harlem (North)/East Harlem",10037,99,"10037","13 - 17 years",1,5439,808.44,2025,"Q4","HPV",
"Chinatown/Financial District",10038,92,"10038","13 - 17 years",1,630,684.9,2025,"Q4","HPV",
"Central Harlem (North)/Washington Heights (South)",10039,80,"10039","13 - 17 years",1,1511,1880.86,2025,"Q4","HPV",
"Washington Heights (North)",10040,91,"10040","13 - 17 years",1,1857,2042.64,2025,"Q4","HPV",
"Roosevelt Island",10044,66,"10044","13 - 17 years",1,378,570.16,2025,"Q4","HPV",
"Lenox Hill/Upper East Side",10065,99,"10065","13 - 17 years",1,893,779.24,2025,"Q4","HPV",
"Lincoln Square",10069,99,"10069","13 - 17 years",1,345,196.39,2025,"Q4","HPV",
"Lenox Hill/Upper East Side",10075,99,"10075, 10162","13 - 17 years",1,951,837.3,2025,"Q4","HPV",
"Upper East Side/Yorkville",10128,81,"10128","13 - 17 years",1,2041,2518.52,2025,"Q4","HPV",
"Battery Park City",10280,88,"10280","13 - 17 years",1,241,274.25,2025,"Q4","HPV",
"Battery Park City",10282,99,"10282","13 - 17 years",1,238,195.33,2025,"Q4","HPV",
"Silver Lake/St. George",10301,79,"10301","13 - 17 years",1,1838,2325.39,2025,"Q4","HPV",
"Elm Park",10302,81,"10302","13 - 17 years",1,1159,1433.98,2025,"Q4","HPV",
"Graniteville/Mariner's Harbor/Port Ivory",10303,76,"10303","13 - 17 years",1,1606,2124.68,2025,"Q4","HPV",
"New Dorp/Todt Hill",10304,74,"10304","13 - 17 years",1,2204,2982.3,2025,"Q4","HPV",
"Arrochar/Midland Beach/Shore Acres/South Beach Ocean Breeze",10305,58,"10305","13 - 17 years",1,1455,2488.64,2025,"Q4","HPV",
"Lighthouse Hill/Midland Beach/New Dorp/Oakwood",10306,50,"10306","13 - 17 years",1,1757,3508.41,2025,"Q4","HPV",
"Tottenville",10307,28,"10307","13 - 17 years",1,298,1066.7,2025,"Q4","HPV",
"Great Kills",10308,40,"10308","13 - 17 years",1,739,1830.52,2025,"Q4","HPV",
"Charleston/Prince's Bay/Woodrow",10309,36,"10309","13 - 17 years",1,766,2157.09,2025,"Q4","HPV",
"Port Richmond/Randall Manor/West Brighton",10310,70,"10310","13 - 17 years",1,1347,1915.75,2025,"Q4","HPV",
"Annadale/Rossville",10312,35,"10312","13 - 17 years",1,1378,3944.58,2025,"Q4","HPV",
"Bloomfield/Freshkills Park",10314,50,"10314","13 - 17 years",1,2873,5753.87,2025,"Q4","HPV",
"Concourse/Melrose",10451,99,"10451","13 - 17 years",1,3917,3168.9,2025,"Q4","HPV",
"Concourse/Highbridge",10452,99,"10452","13 - 17 years",1,5760,5428.31,2025,"Q4","HPV",
"Morris Heights/Mount Hope/University Heights",10453,99,"10453","13 - 17 years",1,6327,5716.64,2025,"Q4","HPV",
"Mott Haven/Port Morris",10454,99,"10454","13 - 17 years",1,3143,2967.77,2025,"Q4","HPV",
"Mott Haven",10455,99,"10455","13 - 17 years",1,3553,3134.64,2025,"Q4","HPV",
"Claremont/Morrisania",10456,99,"10456","13 - 17 years",1,6937,6420.68,2025,"Q4","HPV",
"Belmont/Claremont/Mount Hope/Tremont",10457,99,"10457","13 - 17 years",1,6157,5872.53,2025,"Q4","HPV",
"Belmont/Fordham University/Kingsbridge",10458,99,"10458","13 - 17 years",1,5837,5475.5,2025,"Q4","HPV",
"Charlotte Gardens/Hunts Point",10459,99,"10459","13 - 17 years",1,3898,3604.76,2025,"Q4","HPV",
"Charlotte Gardens/Tremont/Van Nest/West Farms",10460,99,"10460","13 - 17 years",1,4585,4545.68,2025,"Q4","HPV",
"Morris Park/Pelham Bay/Westchester Square",10461,94,"10461","13 - 17 years",1,2662,2841.4,2025,"Q4","HPV",
"Parkchester/Pelham Parkway/Van Nest/Westchester Square",10462,99,"10462","13 - 17 years",1,5275,4299.38,2025,"Q4","HPV",
"Kingsbridge/Marble Hill/Riverdale/Spuyten Duyvil",10463,97,"10463","13 - 17 years",1,3393,3489.36,2025,"Q4","HPV",
"City Island",10464,99,"10464","13 - 17 years",1,792,244.67,2025,"Q4","HPV",
"Country Club/Throgs Neck",10465,72,"10465","13 - 17 years",1,2092,2899.48,2025,"Q4","HPV",
"Edenwald/Wakefield",10466,87,"10466","13 - 17 years",1,4250,4910.89,2025,"Q4","HPV",
"Allerton/Norwood/Pelham Parkway/Williamsbridge",10467,99,"10467","13 - 17 years",1,6710,5940.66,2025,"Q4","HPV",
"Fordham/Kingsbridge/University Heights",10468,99,"10468","13 - 17 years",1,5389,5423.77,2025,"Q4","HPV",
"Allerton/Baychester/Pelham Gardens/Williamsbridge",10469,88,"10469","13 - 17 years",1,3922,4435.75,2025,"Q4","HPV",
"Wakefield/Woodlawn",10470,99,"10470","13 - 17 years",1,902,822.22,2025,"Q4","HPV",
"Fieldston/North Riverdale/Riverdale",10471,87,"10471","13 - 17 years",1,817,935.27,2025,"Q4","HPV",
"Soundview",10472,99,"10472","13 - 17 years",1,5125,4185.93,2025,"Q4","HPV",
"Castle Hill/Clason Point/Soundview",10473,89,"10473","13 - 17 years",1,3788,4273.22,2025,"Q4","HPV",
"Hunts Point",10474,99,"10474","13 - 17 years",1,1055,825.79,2025,"Q4","HPV",
"Co-op City/Edenwald",10475,80,"10475","13 - 17 years",1,1591,1982.29,2025,"Q4","HPV",
"Bellerose/Douglaston-Little Neck",11004,99,"11004, 11005","13 - 17 years",1,2106,1057.49,2025,"Q4","HPV",
"Astoria (South)/Long Island City/Sunnyside",11101,99,"11101","13 - 17 years",1,1970,1506.67,2025,"Q4","HPV",
"Astoria (North)",11102,89,"11102","13 - 17 years",1,1103,1232.59,2025,"Q4","HPV",
"Astoria (North)/Astoria (South)",11103,66,"11103","13 - 17 years",1,907,1367.72,2025,"Q4","HPV",
"Sunnyside",11104,93,"11104","13 - 17 years",1,898,965.59,2025,"Q4","HPV",
"Ditmars Steinway",11105,68,"11105","13 - 17 years",1,923,1357.1,2025,"Q4","HPV",
"Astoria (South)",11106,83,"11106","13 - 17 years",1,1245,1501.9,2025,"Q4","HPV",
"Long Island City",11109,99,"11109","13 - 17 years",1,95,54.4,2025,"Q4","HPV",
"Brooklyn Heights/DUMBO/Downtown Brooklyn",11201,99,"11201","13 - 17 years",1,2044,1738.38,2025,"Q4","HPV",
"East Flatbush (North)/East Flatbush (South)",11203,93,"11203","13 - 17 years",1,3247,3479.18,2025,"Q4","HPV",
"Bensonhurst/Mapleton",11204,56,"11204","13 - 17 years",1,3140,5627.87,2025,"Q4","HPV",
"Bedford-Stuyvesant (West)/Clinton Hill/Fort Greene",11205,60,"11205","13 - 17 years",1,1381,2307.45,2025,"Q4","HPV",
"Williamsburg (South)",11206,48,"11206","13 - 17 years",1,2890,6040.91,2025,"Q4","HPV",
"Cypress Hills/East New York",11207,92,"11207","13 - 17 years",1,5643,6139.53,2025,"Q4","HPV",
"Cypress Hills/East New York",11208,85,"11208","13 - 17 years",1,6384,7533.7,2025,"Q4","HPV",
"Bay Ridge/Fort Hamilton",11209,67,"11209","13 - 17 years",1,2259,3380.53,2025,"Q4","HPV",
"Flatlands/Midwood",11210,53,"11210","13 - 17 years",1,2123,3991.74,2025,"Q4","HPV",
"East Williamsburg/Williamsburg (North)/Williamsburg (South)",11211,23,"11211, 11249","13 - 17 years",1,1580,6787.67,2025,"Q4","HPV",
"Ocean Hill-Brownsville",11212,98,"11212","13 - 17 years",1,5765,5858.6,2025,"Q4","HPV",
"Crown Heights (East)",11213,52,"11213","13 - 17 years",1,2284,4395.6,2025,"Q4","HPV",
"Bath Beach/Bensonhurst/Gravesend",11214,88,"11214","13 - 17 years",1,4194,4761.51,2025,"Q4","HPV",
"Gowanus/Park Slope/Windsor Terrace",11215,99,"11215","13 - 17 years",1,2948,2467.53,2025,"Q4","HPV",
"Bedford-Stuyvesant (West)/Crown Heights (West)",11216,75,"11216","13 - 17 years",1,1643,2184.62,2025,"Q4","HPV",
"Boerum Hill/Park Slope",11217,99,"11217, 11243","13 - 17 years",1,1330,1270.37,2025,"Q4","HPV",
"Kensington/Windsor Terrace",11218,73,"11218","13 - 17 years",1,3367,4632.07,2025,"Q4","HPV",
"Borough Park",11219,47,"11219","13 - 17 years",1,3516,7419.6,2025,"Q4","HPV",
"Sunset Park",11220,99,"11220","13 - 17 years",1,7986,5005.23,2025,"Q4","HPV",
"Bedford-Stuyvesant (East)/Bushwick",11221,69,"11221","13 - 17 years",1,3355,4866.05,2025,"Q4","HPV",
"Greenpoint",11222,60,"11222","13 - 17 years",1,786,1320.66,2025,"Q4","HPV",
"Gravesend/Homecrest",11223,67,"11223","13 - 17 years",1,3148,4722.49,2025,"Q4","HPV",
"Brighton Beach/Coney Island/Seagate",11224,65,"11224","13 - 17 years",1,1788,2735.82,2025,"Q4","HPV",
"Crown Heights (West)/Prospect Lefferts Gardens",11225,66,"11225","13 - 17 years",1,1810,2743.64,2025,"Q4","HPV",
"Flatbush/Prospect Lefferts Gardens",11226,95,"11226","13 - 17 years",1,4555,4818.1,2025,"Q4","HPV",
"Bath Beach/Dyker Heights",11228,94,"11228","13 - 17 years",1,2320,2470.26,2025,"Q4","HPV",
"Gerritsen Beach/Homecrest/Sheepshead Bay",11229,55,"11229","13 - 17 years",1,2610,4739.96,2025,"Q4","HPV",
"Midwood",11230,46,"11230","13 - 17 years",1,2867,6230.8,2025,"Q4","HPV",
"Carroll Gardens/Cobble Hill/Red Hook",11231,99,"11231","13 - 17 years",1,1799,1443.88,2025,"Q4","HPV",
"Sunset Park",11232,99,"11232","13 - 17 years",1,1652,1299.41,2025,"Q4","HPV",
"Bedford-Stuyvesant (East)/Ocean Hill-Brownsville",11233,72,"11233","13 - 17 years",1,3374,4685.24,2025,"Q4","HPV",
"Bergen Beach/Flatlands/Marine Park/Mill Basin",11234,67,"11234","13 - 17 years",1,3435,5095.24,2025,"Q4","HPV",
"Brighton Beach/Manhattan Beach/Sheepshead Bay",11235,65,"11235","13 - 17 years",1,2379,3648.14,2025,"Q4","HPV",
"Canarsie",11236,82,"11236","13 - 17 years",1,4387,5381.45,2025,"Q4","HPV",
"Bushwick/East Williamsburg",11237,99,"11237","13 - 17 years",1,2408,2273.6,2025,"Q4","HPV",
"Clinton Hill/Prospect Heights",11238,99,"11238","13 - 17 years",1,1760,1416.34,2025,"Q4","HPV",
"East New York",11239,99,"11239","13 - 17 years",1,927,801.95,2025,"Q4","HPV",
"Flushing/Murray Hill",11354,99,"11354","13 - 17 years",1,2331,1983.48,2025,"Q4","HPV",
"Flushing/Murray Hill/Queensboro Hill",11355,99,"11355","13 - 17 years",1,4362,3164.24,2025,"Q4","HPV",
"College Point",11356,99,"11356","13 - 17 years",1,1795,1539.69,2025,"Q4","HPV",
"Whitestone",11357,79,"11357","13 - 17 years",1,1592,2003.16,2025,"Q4","HPV",
"Auburndale/Murray Hill",11358,95,"11358","13 - 17 years",1,1738,1824.6,2025,"Q4","HPV",
"Bayside (North)",11360,71,"11360","13 - 17 years",1,555,783.39,2025,"Q4","HPV",
"Bayside (North)/Bayside (South)",11361,70,"11361","13 - 17 years",1,1163,1654.22,2025,"Q4","HPV",
"Douglaston-Little Neck",11362,69,"11362","13 - 17 years",1,641,925.23,2025,"Q4","HPV",
"Douglaston-Little Neck",11363,61,"11363","13 - 17 years",1,253,415.68,2025,"Q4","HPV",
"Bayside (South)/Oakland Gardens",11364,75,"11364","13 - 17 years",1,1556,2080.68,2025,"Q4","HPV",
"Auburndale/Fresh Meadows/Pomonok/Utopia",11365,98,"11365","13 - 17 years",1,2327,2377.67,2025,"Q4","HPV",
"Fresh Meadows/Hillcrest",11366,86,"11366","13 - 17 years",1,608,705.37,2025,"Q4","HPV",
"Kew Gardens Hills/Pomonok",11367,75,"11367","13 - 17 years",1,1570,2085.71,2025,"Q4","HPV",
"Corona/North Corona",11368,99,"11368","13 - 17 years",1,9425,6115.74,2025,"Q4","HPV",
"Airport/East Elmhurst",11369,99,"11369","13 - 17 years",1,2708,1983.73,2025,"Q4","HPV",
"Jackson Heights/Rikers Island",11370,99,"11370","13 - 17 years",1,1395,1399.08,2025,"Q4","HPV",
"Jackson Heights",11372,99,"11372","13 - 17 years",1,3488,2848.51,2025,"Q4","HPV",
"Elmhurst",11373,99,"11373","13 - 17 years",1,6064,4666.97,2025,"Q4","HPV",
"Rego Park",11374,90,"11374","13 - 17 years",1,1507,1677.71,2025,"Q4","HPV",
"Forest Hills",11375,87,"11375","13 - 17 years",1,2165,2502.32,2025,"Q4","HPV",
"Woodside",11377,99,"11377","13 - 17 years",1,4266,3855.09,2025,"Q4","HPV",
"Maspeth",11378,86,"11378","13 - 17 years",1,1785,2087.32,2025,"Q4","HPV",
"Middle Village",11379,71,"11379","13 - 17 years",1,1293,1821.48,2025,"Q4","HPV",
"Glendale/Ridgewood",11385,63,"11385","13 - 17 years",1,4102,6556.48,2025,"Q4","HPV",
"Cambria Heights",11411,74,"11411","13 - 17 years",1,699,939.13,2025,"Q4","HPV",
"St. Albans",11412,82,"11412","13 - 17 years",1,1831,2237.49,2025,"Q4","HPV",
"Laurelton/Rosedale",11413,75,"11413","13 - 17 years",1,1848,2447.95,2025,"Q4","HPV",
"Hamilton Beach/Howard Beach/Lindenwood",11414,56,"11414","13 - 17 years",1,866,1551.25,2025,"Q4","HPV",
"Kew Gardens",11415,63,"11415","13 - 17 years",1,575,910.97,2025,"Q4","HPV",
"Ozone Park",11416,85,"11416","13 - 17 years",1,1623,1917.01,2025,"Q4","HPV",
"Ozone Park",11417,79,"11417","13 - 17 years",1,1626,2047.07,2025,"Q4","HPV",
"Richmond Hill",11418,98,"11418","13 - 17 years",1,2081,2127.65,2025,"Q4","HPV",
